,time_published,summary,sentiment
0,20220303T034400,"The quarter saw rural consumers downtrading, or buying smaller packs to offset the impact of inflation, as a result of which packaged goods companies have increased exposure of lower-priced packs.",neutral
1,20220304T160140,"No, you can't get rich simply by copying their moves, but there's still something irresistible about following the top stock picks of the billionaire set.
Consider that the billionaires listed below have larger-than-life reputations when it comes to investing other rich people's money. Meanwhile, th",neutral
2,20220307T082400,"HUL hit a fresh 52-week low of Rs 1,942, down 4% in intra-day trade today. The stock has tanked 15% in the past two weeks.",neutral
3,20220307T133509,Climbing energy prices are roiling markets.,negative
4,20220307T153709,Gristedes and D'Agostino Food Chairman and CEO John Catsimatidis on Monday warned inflation could increase to double digits by spring on the heels of oil hitting its highest level since 2008.,negative
5,20220307T203528,"A whale with a lot of money to spend has taken a noticeably bearish stance on Procter & Gamble.
Looking at options history for Procter & Gamble  ( NYSE:PG )  we detected 12 strange trades.
If we consider the specifics of each trade, it is accurate to state that 25% of the investors opened trades wit",neutral
6,20220307T224514,"Procter & Gamble (PG) closed the most recent trading day at $152.84, moving -1.48% from the previous trading session.",neutral
7,20220308T080000,Stocks Showing Rising Market Leadership: Bellring Brands Inc Cl A Earns 86 RS Rating Investor's Business Daily,neutral
8,20220308T080336,"BSE Sensex and Nifty 50 were trading nearly one per cent down on Tuesday, amid rising crude oil prices and Russia-Ukraine crisis.",neutral
9,20220308T110015,"Inside Twelve's Bay Area lab, a tank of carbon dioxide captured from a nearby refinery sits next to a dishwasher-size machine that converts the pollut",neutral
10,20220308T120700,"ORLANDO, Fla., March 8, 2022 /PRNewswire/ -- FreeCast, the world's first super aggregation platform that combines online streaming media from multiple into a single interface available across devices, is launching its SelectTV Streaming TV Kit with major retail partnerships. By packaging its online ",neutral
11,20220308T140012,"Inflation, which has been surging in recent months, is poised to rise further as the ongoing war between Russia and Ukraine causes a sharp increase in commodity and energy prices. For perspective, U.S. benchmark crude prices have risen over 30% over the last month to about $120 per barrel...",negative
12,20220308T143005,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.",neutral
13,20220308T154510,"The combined concerns around looming interest rate increases, deepening supply chain disruptions and rising oil prices with increasing economic sanctions on Russia have been fostering immense stock market volatility. And if Washington and European allies cease importing oil from Russia, oil prices could skyrocket and with potentially catastrophic economic consequences worldwide.",neutral
